93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
254: [1, 1, 0] [[1.00629921304062, 0.5388471186161041], [1.2152260392904282, 0.570030152797699], [0.0030649900436401367, 1.223925843834877]]
255: [1, 1, 0] [[1.0039351768791676, 0.6297959983348846], [1.2077197581529617, 0.6682132482528687], [0.011520326137542725, 1.1921625435352325]]
256: [1, 1, 0] [[0.9970405213534832, 0.5932765305042267], [1.152144804596901, 0.6109936833381653], [0.1189032793045044, 1.1900622099637985]]
257: [1, 1, 0] [[1.0486951358616352, 0.6159221827983856], [1.2062905579805374, 0.644983559846878], [0.003179609775543213, 1.2232697010040283]]
258: [1, 1, 0] [[1.0593578219413757, 0.6381748914718628], [1.205808773636818, 0.6537908315658569], [0.032205283641815186, 1.2036257684230804]]
259: [1, 1, 0] [[0.9966581016778946, 0.6609162986278534], [1.1885379999876022, 0.6718145310878754], [0.004960298538208008, 1.1784091740846634]]
260: [1, 1, 0] [[0.997400376945734, 0.6736001670360565], [1.169307380914688, 0.6661910116672516], [0.0002193450927734375, 1.167917400598526]]
261: [1, 1, 0] [[0.978981290012598, 0.6957321763038635], [1.1661940664052963, 0.6863221824169159], [0.0473942756652832, 1.1245410591363907]]
262: [1, 1, 0] [[0.9202853441238403, 0.6867638230323792], [1.1190405115485191, 0.6926157176494598], [0.0034688711166381836, 1.1253255009651184]]
263: [1, 1, 0] [[1.1186388581991196, 0.08975183963775635], [0.9014761745929718, 0.5969536602497101], [0.042381346225738525, 1.018580548465252]]
264: [1, 1, 0] [[1.1227715089917183, 0.6512214541435242], [0.9975952804088593, 0.6367505788803101], [0.002600431442260742, 0.9874286893755198]]
265: [1, 1, 0] [[1.1159637421369553, 0.6367689073085785], [1.001308236271143, 0.6216890811920166], [0.0005657076835632324, 1.010684259235859]]
266: [1, 1, 0] [[1.016297947615385, 0.06457668542861938], [1.1233142837882042, 0.6650541722774506], [0.03110671043395996, 1.1639912873506546]]
267: [1, 1, 0] [[1.0398430861532688, 0.6706342101097107], [1.163764774799347, 0.6747651696205139], [0.010265946388244629, 1.183076173067093]]
